"level_4_id","payload","title","level_3_id_fk"
"1","subjectdetails","Subject Details","1"
"2","fees","Fees","1"
"3","admissiondetails","Admission Details","1"
"4","faq","FAQ's","1"
"5","subjectdetails","Subject Details","2"
"6","fees","Fees","2"
"7","admissiondetails","Admission Details","2"
"8","faqs","FAQ's","2"
"9","subjectdetails","Subject Details","3"
"10","fees","Fees","3"
"11","admissiondetails","Admission Details","3"
"12","faqs","FAQ's","3"
"13","subjectdetails","Subject Details","4"
"14","fees","Fees","4"
"15","admissiondetails","Admission Details","4"
"16","faqs","FAQ's","4"
"17","subjectdetails","Subject Details","5"
"18","fees","Fees","5"
"19","admissiondetails","Admission Details","5"
"20","faq","FAQ's","5"
"21","subjectdetails","Subject Details","6"
"22","fees","Fees","6"
"23","admissiondetails","Admission Details","6"
"24","faq","FAQ's","6"
"25","subjectdetails","Subject Details","7"
"26","fees","Fees","7"
"27","admissiondetails","Admission Details","7"
"28","faq","FAQ's","7"
"29","subjectdetails","Subject Details","8"
"30","fees","Fees","8"
"31","admissiondetails","Admission Details","8"
"32","faq","FAQ's","8"
"33","subjectdetails","Subject Details","9"
"34","fees","Fees","9"
"35","admissiondetails","Admission Details","9"
"36","faq","FAQ's","9"
"37","subjectdetails","Subject Details","10"
"38","fees","Fees","10"
"39","admissiondetails","Admission Details","10"
"40","faq","FAQ's","10"
"41","subjectdetails","Subject Details","11"
"42","fees","Fees","11"
"43","admissiondetails","Admission Details","11"
"44","faq","FAQ's","11"
"45","subjectdetails","Subject Details","12"
"46","fees","Fees","12"
"47","admissiondetails","Admission Details","12"
"48","faq","FAQ's","12"
"49","subjectdetails","Subject Details","13"
"50","fees","Fees","13"
"51","admissiondetails","Admission Details","13"
"52","faq","FAQ's","13"
"53","subjectdetails","Subject Details","14"
"54","fees","Fees","14"
"55","admissiondetails","Admission Details","14"
"56","faq","FAQ's","14"
"57","subjectdetails","Subject Details","15"
"58","fees","Fees","15"
"59","admissiondetails","Admission Details","15"
"60","faq","FAQ's","15"
"61","subjectdetails","Subject Details","16"
"62","fees","Fees","16"
"63","admissiondetails","Admission Details","16"
"64","faq","FAQ's","16"
"65","subjectdetails","Subject Details","17"
"66","fees","Fees","17"
"67","admissiondetails","Admission Details","17"
"68","faq","FAQ's","17"
"69","subjectdetails","Subject Details","18"
"70","fees","Fees","18"
"71","admissiondetails","Admission Details","18"
"72","faq","FAQ's","18"
"73","subjectdetails","Subject Details","19"
"74","fees","Fees","19"
"75","admissiondetails","Admission Details","19"
"76","faq","FAQ's","19"
"77","subjectdetails","Subject Details","20"
"78","fees","Fees","20"
"79","admissiondetails","Admission Details","20"
"80","faq","FAQ's","20"
"81","subjectdetails","Subject Details","21"
"82","fees","Fees","21"
"83","admissiondetails","Admission Details","21"
"84","faq","FAQ's","21"
"85","subjectdetails","Subject Details","22"
"86","fees","Fees","22"
"87","admissiondetails","Admission Details","22"
"88","faq","FAQ's","22"
"89","subjectdetails","Subject Details","23"
"90","fees","Fees","23"
"91","admissiondetails","Admission Details","23"
"92","faq","FAQ's","23"
"93","subjectdetails","Subject Details","24"
"94","fees","Fees","24"
"95","admissiondetails","Admission Details","24"
"96","faq","FAQ's","24"
"97","subjectdetails","Subject Details","25"
"98","fees","Fees","25"
"99","admissiondetails","Admission Details","25"
"100","faq","FAQ's","25"
"101","subjectdetails","Subject Details","32"
"102","fees","Fees","32"
"103","admissiondetails","Admission Details","32"
"104","faq","FAQ's","32"
"105","subjectdetails","Subject Details","26"
"106","fees","Fees","26"
"107","admissiondetails","Admission Details","26"
"108","faq","FAQ's","26"
"109","subjectdetails","Subject Details","27"
"110","fees","Fees","27"
"111","admissiondetails","Admission Details","27"
"112","faq","FAQ's","27"
"113","subjectdetails","Subject Details","28"
"114","fees","Fees","28"
"115","admissiondetails","Admission Details","28"
"116","faq","FAQ's","28"
"117","subjectdetails","Subject Details","29"
"118","fees","Fees","29"
"119","admissiondetails","Admission Details","29"
"120","faq","FAQ's","29"
"121","subjectdetails","Subject Details","30"
"122","fees","Fees","30"
"123","admissiondetails","Admission Details","30"
"124","faq","FAQ's","30"
"125","subjectdetails","Subject Details","31"
"126","fees","Fees","31"
"127","admissiondetails","Admission Details","31"
"128","faq","FAQ's","31"
"129","subjectdetails","Subject Details","32"
"130","fees","Fees","32"
"131","admissiondetails","Admission Details","32"
"132","faq","FAQ's","32"
"133","subjectdetails","Subject Details","33"
"134","fees","Fees","33"
"135","admissiondetails","Admission Details","33"
"136","faq","FAQ's","33"
"137","subjectdetails","Subject Details","34"
"138","fees","Fees","34"
"139","admissiondetails","Admission Details","34"
"140","faq","FAQ's","34"
"141","subjectdetails","Subject Details","35"
"142","fees","Fees","35"
"143","admissiondetails","Admission Details","35"
"144","faq","FAQ's","35"
"145","subjectdetails","Subject Details","36"
"146","fees","Fees","36"
"147","admissiondetails","Admission Details","36"
"148","faq","FAQ's","36"
